captain,player2,player3,region,club
Jean Dupont,,,Southeast,Atlanta PC
Marie Laurent,,,Northeast,Boston BC
Pierre Martin,,,Southwest,Houston PC
Sophie Bernard,,,Northwest,Seattle BC
Lucas Moreau,,,Southeast,Miami PC
Emma Lefevre,,,Northeast,New York BC
Antoine Girard,,,Southwest,Phoenix PC
Claire Rousseau,,,Northwest,Portland BC
Michel Dubois,,,Southeast,Orlando PC
Isabelle Petit,,,Northeast,Philadelphia BC
François Thomas,,,Southwest,Dallas PC
Nathalie Robert,,,Northwest,Denver BC
Philippe Richard,,,Southeast,Tampa PC
Camille Simon,,,Northeast,Chicago BC
Julien Blanc,,,Southwest,San Antonio PC
Amélie Faure,,,Northwest,Salt Lake BC
Henri Mercier,,,Southeast,Charlotte PC
Monique Garnier,,,Northeast,Detroit BC
Alain Bonnet,,,Southwest,Austin PC
Sylvie Dupuis,,,Northwest,Sacramento BC
Claude Fontaine,,,Southeast,Jacksonville PC
Brigitte Meyer,,,Northeast,Baltimore BC
Yves Lambert,,,Southwest,El Paso PC
Martine Lemoine,,,Northwest,Las Vegas BC
Thierry Morel,,,Southeast,Nashville PC
Christine Gauthier,,,Northeast,Minneapolis BC
Patrick Roux,,,Southwest,Albuquerque PC
Dominique Fournier,,,Northwest,San Francisco BC
Eric Chevalier,,,Southeast,New Orleans PC
Sandrine Perrin,,,Northeast,Cleveland BC
Marc Olivier,,,Southwest,Tucson PC
Véronique Clement,,,Northwest,Boise BC
