captain,player2,player3,region,club
Jean Dupont,André Moreau,Paul Lefevre,Southeast,Atlanta PC
Marie Laurent,Hélène Petit,Chantal Girard,Northeast,Boston BC
Pierre Martin,Jacques Leroy,Robert Simon,Southwest,Houston PC
Sophie Bernard,Anne Dubois,Véronique Blanc,Northwest,Seattle BC
Lucas Moreau,Thomas Girard,David Faure,Southeast,Miami PC
Emma Lefevre,Julie Simon,Laure Mercier,Northeast,New York BC
Antoine Girard,Nicolas Blanc,Frédéric Lambert,Southwest,Phoenix PC
Claire Rousseau,Céline Faure,Marguerite Roux,Northwest,Portland BC
Michel Dubois,René Lambert,Georges Morel,Southeast,Orlando PC
Isabelle Petit,Françoise Meyer,Denise Perrin,Northeast,Philadelphia BC
François Thomas,Bernard Roux,Henri Chevalier,Southwest,Dallas PC
Nathalie Robert,Sylvie Morin,Jacqueline Olivier,Northwest,Denver BC
Philippe Richard,Alain Mercier,Roger Clement,Southeast,Tampa PC
Camille Simon,Monique Garnier,Pauline Gauthier,Northeast,Chicago BC
Julien Blanc,Yves Fontaine,Maurice Fournier,Southwest,San Antonio PC
Amélie Faure,Christine Lemoine,Geneviève Bonnet,Northwest,Salt Lake BC
Thierry Dupuis,Claude Perrin,Lucien Marchand,Southeast,Charlotte PC
Martine Bonnet,Brigitte Chevalier,Odette Legrand,Northeast,Detroit BC
Eric Fournier,Patrick Olivier,Serge Masson,Southwest,Austin PC
Dominique Gauthier,Sandrine Clement,Colette Duval,Northwest,Sacramento BC
Gilles Marchand,Marc Roussel,Raymond Renard,Southeast,Jacksonville PC
Laurence Masson,Catherine Henry,Simone Picard,Northeast,Baltimore BC
Olivier Schmitt,Didier Legrand,Gérard Caron,Southwest,El Paso PC
Stéphanie Colin,Agnès Duval,Thérèse Guerin,Northwest,Las Vegas BC
Christophe Vidal,Bruno Ferrand,Louis Schmitt,Southeast,Nashville PC
Aurélie Lemaire,Madeleine Guerin,Jeanne Ferrand,Northeast,Minneapolis BC
Sébastien Hubert,Daniel Picard,Armand Arnaud,Southwest,Albuquerque PC
Caroline Meunier,Valérie Caron,Yvonne Lacroix,Northwest,San Francisco BC
Fabrice Gautier,Vincent Lacroix,Gilbert Rolland,Southeast,New Orleans PC
Delphine Rolland,Nadia Arnaud,Micheline Blanchard,Northeast,Cleveland BC
Guillaume Bertrand,Sébastien Colin,Edouard Meunier,Southwest,Tucson PC
Emilie Blanchard,Caroline Vidal,Suzanne Hubert,Northwest,Boise BC
