captain,player2,player3,region,club
Jean-Pierre Dubois,Marie Lefebvre,Philippe Martin,Provence,Boules de Marseille
Henri Moreau,Claire Bernard,Luc Petit,Occitanie,La Pétanque Toulousaine
François Girard,Sophie Roux,Antoine Blanc,Rhône-Alpes,Club Lyonnais
Michel Leroy,Isabelle Fournier,Pierre Morel,Bretagne,Boulistes de Rennes
Jacques Garnier,Nathalie Simon,Yves Laurent,Côte d'Azur,Nice Pétanque
Robert Chevalier,Camille Mercier,Thierry Bonnet,Aquitaine,Les Cochonnets Bordelais
André Fontaine,Émilie Rousseau,Didier Faure,Normandie,Rouen Boules Club
Paul Lemoine,Véronique Duval,Gérard Michel,Alsace,Strasbourg Pétanque
Claude Marchand,Catherine Renard,Bruno Legrand,Provence,Avignon Boulistes
Alain Dupont,Monique Barbier,Serge Arnaud,Languedoc,Montpellier Boules
Olivier Masson,Christine Guerin,Patrick Brunet,Pays de Loire,Nantes Pétanque Club
Raymond Schmitt,Sylvie Leroux,Nicolas Gauthier,Lorraine,Metz Boulistes
Bernard Perrin,Anne-Marie Colin,Stéphane Vidal,Auvergne,Clermont Pétanque
Gilles Morin,Martine Gautier,Eric Lambert,Picardie,Amiens Boules
Louis Carpentier,Françoise Sanchez,Marc Ferrand,Nord,Lille Cochonnet Club
Daniel Boucher,Hélène Marechal,Julien Robin,Champagne,Reims Pétanque
